frame.time_relative,ip.src,ip.dst,_ws.col.protocol,tcp.seq,tcp.ack,tcp.nxtseq,_ws.col.info,mqtt.msg_text,tcp.payload
"84.057235000","192.168.146.97","192.168.146.112","MQTT","93877","49","93954","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:865"", ""sig no"": 1236, ""value"": 0.5455406}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a383635222c2022736967206e6f223a20313233362c202276616c7565223a20302e353435353430367d7d"
"84.066601000","192.168.146.97","192.168.146.187","TCP","5","93964","5","8883 → 51901 [ACK] Seq=5 Ack=93964 Win=64492 Len=0",,
"84.071797000","192.168.146.187","192.168.146.97","MQTT","93964","5","94041","Publish Message [ecg][Malformed Packet]","{""data"": {""time"": ""13:01:14:920"", ""sig no"": 1237, ""value"": 0.4974288}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a393230222c2022736967206e6f223a20313233372c202276616c7565223a20302e343937343238387d7d"
"84.113675000","192.168.146.97","192.168.146.187","TCP","5","94041","5","8883 → 51901 [ACK] Seq=5 Ack=94041 Win=64415 Len=0",,
"84.117759000","192.168.146.112","192.168.146.97","TCP","49","93954","49","61932 → 8883 [ACK] Seq=49 Ack=93954 Win=64768 Len=0",,
"84.117833000","192.168.146.97","192.168.146.112","MQTT","93954","49","94031","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:920"", ""sig no"": 1237, ""value"": 0.4974288}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a393230222c2022736967206e6f223a20313233372c202276616c7565223a20302e343937343238387d7d"
"84.120535000","192.168.146.187","192.168.146.97","TCP","94041","5","94043","",,"304b"
"84.175523000","192.168.146.112","192.168.146.97","TCP","49","94031","49","61932 → 8883 [ACK] Seq=49 Ack=94031 Win=64768 Len=0",,
"84.175550000","192.168.146.97","192.168.146.187","TCP","5","94043","5","8883 → 51901 [ACK] Seq=5 Ack=94043 Win=64413 Len=0",,
"84.179801000","192.168.146.187","192.168.146.97","MQTT","94043","5","94195","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:975"", ""sig no"": 1238, ""value"": 0.5072099}},{""data"": {""time"": ""13:01:14:031"", ""sig no"": 1239, ""value"": 0.5138018}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a393735222c2022736967206e6f223a20313233382c202276616c7565223a20302e353037323039397d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a303331222c2022736967206e6f223a20313233392c202276616c7565223a20302e353133383031387d7d"
"84.180361000","192.168.146.97","192.168.146.112","MQTT","94031","49","94108","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:975"", ""sig no"": 1238, ""value"": 0.5072099}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a393735222c2022736967206e6f223a20313233382c202276616c7565223a20302e353037323039397d7d"
"84.223053000","192.168.146.97","192.168.146.187","TCP","5","94195","5","8883 → 51901 [ACK] Seq=5 Ack=94195 Win=64261 Len=0",,
"84.231695000","192.168.146.187","192.168.146.97","TCP","94195","5","94197","",,"304b"
"84.252588000","192.168.146.112","192.168.146.97","TCP","49","94108","49","61932 → 8883 [ACK] Seq=49 Ack=94108 Win=64512 Len=0",,
"84.252662000","192.168.146.97","192.168.146.112","MQTT","94108","49","94185","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:031"", ""sig no"": 1239, ""value"": 0.5138018}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a303331222c2022736967206e6f223a20313233392c202276616c7565223a20302e353133383031387d7d"
"84.285254000","192.168.146.97","192.168.146.187","TCP","5","94197","5","8883 → 51901 [ACK] Seq=5 Ack=94197 Win=64259 Len=0",,
"84.289570000","192.168.146.187","192.168.146.97","MQTT","94197","5","94349","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:085"", ""sig no"": 1240, ""value"": 0.5047684}},{""data"": {""time"": ""13:01:14:141"", ""sig no"": 1241, ""value"": 0.5094071}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a303835222c2022736967206e6f223a20313234302c202276616c7565223a20302e353034373638347d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a313431222c2022736967206e6f223a20313234312c202276616c7565223a20302e353039343037317d7d"
"84.308864000","192.168.146.112","192.168.146.97","TCP","49","94185","49","61932 → 8883 [ACK] Seq=49 Ack=94185 Win=64512 Len=0",,
"84.308941000","192.168.146.97","192.168.146.112","MQTT","94185","49","94339","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:085"", ""sig no"": 1240, ""value"": 0.5047684}},{""data"": {""time"": ""13:01:14:141"", ""sig no"": 1241, ""value"": 0.5094071}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a303835222c2022736967206e6f223a20313234302c202276616c7565223a20302e353034373638347d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a313431222c2022736967206e6f223a20313234312c202276616c7565223a20302e353039343037317d7d"
"84.331795000","192.168.146.97","192.168.146.187","TCP","5","94349","5","8883 → 51901 [ACK] Seq=5 Ack=94349 Win=64107 Len=0",,
"84.341844000","192.168.146.187","192.168.146.97","TCP","94349","5","94351","",,"304b"
"84.367689000","192.168.146.112","192.168.146.97","TCP","49","94339","49","61932 → 8883 [ACK] Seq=49 Ack=94339 Win=64256 Len=0",,
"84.393905000","192.168.146.97","192.168.146.187","TCP","5","94351","5","8883 → 51901 [ACK] Seq=5 Ack=94351 Win=64105 Len=0",,
"84.410266000","192.168.146.187","192.168.146.97","MQTT","94351","5","94503","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:196"", ""sig no"": 1242, ""value"": 0.5162432}},{""data"": {""time"": ""13:01:14:251"", ""sig no"": 1243, ""value"": 0.4947433}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a313936222c2022736967206e6f223a20313234322c202276616c7565223a20302e353136323433327d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a323531222c2022736967206e6f223a20313234332c202276616c7565223a20302e343934373433337d7d"
